Wpisy tekstowe dla probki : Nr probki,"T2"
Wlasciwosci probki : Szerokosc,"10.00",mm
Wla�ciwo�ci pr�bki : Grubo��,"1.00",mm
Pole przekroju : Pole przekroju,"10.00",mm^2
Test : Tempo 1,"0.2",mm/min
Wlasciwosci probki : Rozpi�to�� podparcia,"80.00000",mm
Uwagi do probki : 1 Notatka o pr�bce,""

Godzina,obci��enie,Przemieszczenie przy zginaniu
(s),(N),(mm)
"68.10000","140.08704","0.22668"
"68.20000","140.32997","0.22702"
"68.30000","140.56604","0.22737"
"68.40000","140.80693","0.22772"
"68.50000","141.04266","0.22806"
"68.60000","141.27214","0.22840"
"68.70000","141.50183","0.22874"
"68.80000","141.70805","0.22906"
"68.90000","141.91763","0.22938"
"69.00000","142.15628","0.22973"
"69.10000","142.38832","0.23007"
"69.20000","142.61035","0.23041"
"69.30000","142.82976","0.23074"
"69.40000","143.05574","0.23108"
"69.50000","143.28778","0.23142"
"69.60000","143.51923","0.23176"
"69.70000","143.76187","0.23210"
"69.80000","143.99138","0.23245"
"69.90000","144.21541","0.23279"
"70.00000","144.45822","0.23314"
"70.10000","144.70250","0.23349"
"70.20000","144.90036","0.23381"
"70.30000","145.10287","0.23414"
"70.40000","145.34137","0.23447"
"70.50000","145.56514","0.23481"
"70.60000","145.78899","0.23514"
"70.70000","146.00481","0.23547"
"70.80000","146.22211","0.23579"
"70.90000","146.42169","0.23609"
"71.00000","146.62157","0.23640"
"71.10000","146.85281","0.23675"
"71.20000","147.08868","0.23707"
"71.30000","147.34163","0.23742"
"71.40000","147.57884","0.23777"
"71.50000","147.80804","0.23811"
"71.60000","148.06880","0.23847"
"71.70000","148.31459","0.23882"
"71.80000","148.53502","0.23914"
"71.90000","148.74284","0.23947"
"72.00000","148.98471","0.23981"
"72.10000","149.21283","0.24015"
"72.20000","149.43233","0.24048"
"72.30000","149.64838","0.24081"
"72.40000","149.88914","0.24115"
"72.50000","150.10930","0.24149"
"72.60000","150.31404","0.24181"
"72.70000","150.52771","0.24213"
"72.80000","150.75885","0.24247"
"72.90000","150.97864","0.24279"
